Employee_ID,Username,Password,FirstName,LastName,Email,AnnualLeave,MedicalLeave,CompensationLeave,Role,Manager,ManagerUsername,
3677,KerrGarc,Password,Kerri,Garcia,KerrGarc@mail.com,14,7,0,Manager,17,DeboMann,FALSE
7897,BranMyer,Password,Brandon,Myers,BranMyer@mail.com,14,6,0,Admin,28,JosePric,FALSE
5930,RobeWolf,Password,Robert,Wolfe,RobeWolf@mail.com,20,8,3,Staff,23,CoreFull,FALSE
4946,GlenSand,Password,Glenn,Sanders,GlenSand@mail.com,15,6,2,Admin,28,JosePric,FALSE
6321,RichLope,Password,Richard,Lopez,RichLope@mail.com,19,7,1,Manager,24,DianWalk,FALSE
4606,MichWall,Password,Michael,Wall,MichWall@mail.com,18,7,1,Staff,11,BriaAnde,FALSE
9020,DianBrow,Password,Diana,Brown,DianBrow@mail.com,19,7,1,Staff,5,PatrPark,FALSE
3656,DaniReyn,Password,Danielle,Reynolds,DaniReyn@mail.com,16,6,0,Staff,6,AnneMitc,FALSE
6091,GeorBolt,Password,George,Bolton,GeorBolt@mail.com,16,6,1,Manager,25,ZachElli,FALSE
5931,JaimChen,Password,Jaime,Chen,JaimChen@mail.com,19,7,3,Staff,5,PatrPark,FALSE
6079,JeffCamp,Password,Jeffery,Campbell,JeffCamp@mail.com,19,6,3,Staff,3,GeorBolt,FALSE
7246,AmbeFrie,Password,Amber,Friedman,AmbeFrie@mail.com,15,6,2,Staff,1,KerrGarc,FALSE
4794,SivaMapo,Password,Siva,Mapo,SivaMapo@mail.com,17,6,3,Staff,16,ChriSand,FALSE
3502,RebeNewt,Password,Rebecca,Newton,RebeNewt@mail.com,16,8,0,Staff,26,ChelHayn,FALSE
9918,ConnWise,Password,Connie,Wise,ConnWise@mail.com,20,6,3,Staff,6,AnneMitc,FALSE
6777,JacoSoto,Password,Jacob,Soto,JacoSoto@mail.com,19,8,1,Staff,2,RichLope,FALSE
9970,AngeFrit,Password,Angela,Fritz,AngeFrit@mail.com,14,7,2,Staff,11,BriaAnde,FALSE
9459,StepGilb,Password,Stephen,Gilbert,StepGilb@mail.com,17,7,3,Staff,26,ChelHayn,FALSE
9876,JoanMill,Password,Joanne,Miller,JoanMill@mail.com,17,8,2,Staff,24,DianWalk,FALSE
4578,JamiDunn,Password,Jamie,Dunn,JamiDunn@mail.com,16,8,2,Manager,21,AnneWest,FALSE
1760,WarrWats,Password,Warren,Watson,WarrWats@mail.com,18,7,1,Staff,25,ZachElli,FALSE
5249,NathAnde,Password,Nathaniel,Anderson,NathAnde@mail.com,18,7,0,Staff,9,AnthGuti,FALSE
5491,PatrEdwa,Password,Patricia,Edwards,PatrEdwa@mail.com,18,7,2,Staff,3,GeorBolt,FALSE
